Sheet,SKU,Nome,Preço,Descrição curta,Descrição longa,Tags,Cor,Tamanho,Composição,Pack,URL fornecedor,URLs extra,Imagens,Prioridade,Destaque homepage?,Notas internas
CERIMÓNIA,Palha – 937,CHAPÉUS DE PALHA FEMININOS,"Tags: Fabricado na China , Tamanho ajustável",,"Paquet de 30 pcs assorties: 12*55, 18*57",CHAPÉUS DE PALHA FEMININOS,"Bege , Cáqui , Marinho , Preto , Laranja , Ferrugem",Tamanho único,Palha 100% natural,Unitário,https://hologrammeparis.com/product/paille-art-937-241-gros-grain/,,"images/cerimónia/palha-937/img_01.jpg, images/cerimónia/palha-937/img_02.jpg, images/cerimónia/palha-937/img_03.jpg, images/cerimónia/palha-937/img_04.jpg, images/cerimónia/palha-937/img_05.jpg, images/cerimónia/palha-937/img_06.jpg, images/cerimónia/palha-937/img_07.jpg, images/cerimónia/palha-937/img_08.jpg, images/cerimónia/palha-937/img_09.jpg, images/cerimónia/palha-937/img_10.jpg",,,
CERIMÓNIA,Boina Clássica – 5020,BOINA CLÁSSICA / BERET,Etiqueta: Fabricado na China,,"Notre version Hologramme Paris du ""Béret Uni classique"" Sobre, intemporel et sans logo apparent. 75g de Laine grattée et rasée *les nouvelles couleurs sont à 90% laine.","Nossa versão holográfica parisiense da “boina lisa clássica”

Sóbrio, intemporal e sem logótipo visível.

75g de lã escovada e raspada",,,100% Lã,Unitário,https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302,,"images/cerimónia/boina-classica-5020/img_01.jpg, images/cerimónia/boina-classica-5020/img_06.jpg, images/cerimónia/boina-classica-5020/img_07.jpg",,,
PALHA,Palha – 941216 Couro,CHAPÉU DE PALHA NATURAL,35.0,,"Paquet de 30 pcs assorties: 3*55, 4*56, 6*57, 7*58, 5*59, 3*60, 2*61",Rótulo: Fabricado na Itália,Natural,"55 , 56 , 57 , 58 , 59 , 60 , 61",Palha 100% natural,Pacote 15,https://hologrammeparis.com/product/paille-941216-cuir/,,images/palha/palha-941216-couro/img_06.jpg,,,
PANAMÁ,Panamá – 201754,CHAPEU PANAMÁ,67.5,,Découvrez notre Panama - 201754 au prix de grossiste pour votre boutique sur Hologramme Paris.,"A versão revisitada do Panamá equatoriano, mais sólida, dobrável e moderna.

Panamá Panasoft em papel 100% japonês .

Fabricado na Itália.",Branco,"54, 55 , 56 , 57 , 58 , 59",Papel 100% Japonês,Unitário,https://hologrammeparis.com/product/panama-201754/,,"images/panamá/panama-201754/img_02.jpg, images/panamá/panama-201754/img_03.jpg, images/panamá/panama-201754/img_04.jpg, images/panamá/panama-201754/img_05.jpg, images/panamá/panama-201754/img_06.jpg",,,
PANAMÁ,Panamá – 201752,CHAPEU PANAMÁ ABA CURTA,67.5,,Découvrez notre Panama - 201752-Ecru au prix de grossiste pour votre boutique sur Hologramme Paris.,"A versão revisitada do Panamá equatoriano, mais sólida, dobrável e moderna.

Panamá Panasoft em papel 100% japonês .

Fabricado na Itália.","Branco, Bege","54, 55 , 56 , 57 , 58 , 59 , 60 , 61",Papel 100% Japonês,Unitário,https://hologrammeparis.com/product/panama-201752-ecru/,,"images/panamá/panama-201752/img_01.jpg, images/panamá/panama-201752/img_02.jpg, images/panamá/panama-201752/img_03.jpg, images/panamá/panama-201752/img_04.jpg, images/panamá/panama-201752/img_05.jpg, images/panamá/panama-201752/img_06.jpg",,,
PANAMÁ,Panamá – 931,CHAPEU PANAMÁ AJUSTÁVEL,67.5,,Découvrez notre Panama - Art 931 Japonais au prix de grossiste pour votre boutique sur Hologramme Paris.,"A versão revisitada do Panamá equatoriano, mais sólida, dobrável e moderna.

Panamá Panasoft em papel 100% japonês .

Fabricado na Itália.","Beige, Kaki, Marine, Noir","55 , 56 , 57 , 58 , 59 , 60 , 61",Papel 100% Japonês,Unitário,https://hologrammeparis.com/product/panama-art-931-japonais/,,"images/panamá/panama-931/img_01.jpg, images/panamá/panama-931/img_02.jpg, images/panamá/panama-931/img_03.jpg, images/panamá/panama-931/img_04.jpg, images/panamá/panama-931/img_05.jpg, images/panamá/panama-931/img_06.jpg, images/panamá/panama-931/img_07.jpg",,,
À PROVA D´ÁGUA,"Chapéu – 49103

",CHAPÉUS ALGODÃO ENCERADO,45.0,,Découvrez notre Chapeau - 49103 au prix de grossiste pour votre boutique sur Hologramme Paris.,"Algodão Oleado, Fabricado em Portugal","Camelo , Marinho , Marrom , Preto , Ferrugem , Taupe , Verde Escuro","55 , 57 , 59 , 61",100% algodão,Unitário,https://hologrammeparis.com/product/chapeau-49103/,,"images/à prova d´água/chapeu-49103/img_01.jpg, images/à prova d´água/chapeu-49103/img_02.jpg, images/à prova d´água/chapeu-49103/img_03.jpg, images/à prova d´água/chapeu-49103/img_04.jpg",,,
À PROVA D´ÁGUA,SOLID,CHAPEU DOBRAVEL,55.0,,,"impermeavel, dobravel",,,,,,,,,,
À PROVA D´ÁGUA,SOLID,CHAPEU DOBRAVEL,55.0,,,"impermeavel, dobravel",,,,,,,,,,
PROTEÇÃO SOLAR,SOLID,BOINA UV ,27.5,,,BOINA UV,"Verde, Azul, Bege","56 , 58 , 60",100% Nylon,Unitário,,,,,,
PROTEÇÃO SOLAR,SOLID,CHAPÉU UV,19.9,,,CHAPÉU UV,"Verde, Bege","56 , 58 , 60",100% Nylon,Unitário,,,,,,
CHAPÉUS EM TECIDO,"Bob – 2018121

",BUCKT HAT ALGODÃO,14.9,,"Paquet de 24 pcs assorties: 3*Noir, 3*Marine, 2*Orange, 2*Beige, 2*Bleu Royal, 2*Moutarde, 2*Kaki, 2*Gris, 2*Bordeaux, 2*Rouge, 1*Camel, 1*Marron Clair",BUCKT HAT ALGODÃO,"Bege Claro , Azul , Borgonha , Camelo , Cinza , Amarelo , Cáqui Claro , Cáqui Escuro , Marinho , Preto , Laranja , Vermelho","57 , 59",100% algodão,Pacote 24,https://hologrammeparis.com/product/bob-2018121/,,images/chapéus em tecido/bob-2018121/img_01.jpg,,,
CHAPÉUS EM TECIDO,Bob – 2018120,CHAPÉU SAFARI,19.9,,"Paquet de 24 pcs assorties: 3*Noir, 3*Marine, 2*Kaki, 2*Bordeaux, 2*Rouge, 2*Rouille, 2*Bleu Royal, 2*Gris, 2*Moutarde, 2*Beige, 1*Camel, 1*Marron Clair",CHAPÉU SAFARI,"Beige Clair, Bleu, Bordeaux, Camel, Gris, Jaune, Kaki Clair, Kaki Fonce, Marine, Noir, Orange, Rouge","57 , 59",100% algodão,Pacote 24,https://hologrammeparis.com/product/bob-2018120/,,images/chapéus em tecido/bob-2018120/img_01.jpg,,,
CHAPÉUS EM TECIDO,bucket-hat-reversivel,BUCKET HAT REVERSIVEL,19.9,,,Etiqueta:  reversível,Dversos,UNICO (57.5),30% algodão 70% poliester,UNIDADE,,,,,,
VISEIRAS,HOLOGRAMME,VISEIRA  FEMININA,2.0,,,VISEIRA  FEMININA,"Pink, verde, preto, azul, bege, camel",,,,,,,,,
BONÉS,"Boné – 12614
Boné – 15112",BONÉS CUBANOS,"Tags: Fabricado na China , Tamanho ajustável",,"Paquet de 24 pcs assorties: 2*Bleu, 2*Moutarde, 2*Rouge, 2*Kaki, 4*Noir, 3*Camel, 3*Gris, 4*Marine, 2*Vert","2*Azul, 2*Mostarda, 2*Vermelho, 2*Cáqui, 4*Preto, 3*Camelo, 3*Cinza, 4*Marinha, 2*Verde, 3 * cinza escuro, 3 * bege, 2 * cáqui, 2 * preto, 2 * verde maçã, 2 * laranja, 2 * marrom 2 * azul, 2 * verde abeto, 2 * vermelho, 2 * Cinza claro","Azul , Camelo , Cinza , Cáqui , Marinho , Mostarda , Preto , Vermelho , Verde",,100% algodão,Pacote 12,https://hologrammeparis.com/product/casquette-12614/,https://hologrammeparis.com/product/casquette-15165/,"images/bonés/bone-12614-bone-15112/img_01.jpg, images/bonés/bone-12614-bone-15112/img_13.jpg, images/bonés/bone-12614-bone-15112/img_14.jpg, images/bonés/bone-12614-bone-15112/img_15.jpg, images/bonés/bone-12614-bone-15112/img_16.jpg, images/bonés/bone-12614-bone-15112/img_17.jpg, images/bonés/bone-12614-bone-15112/img_18.jpg, images/bonés/bone-12614-bone-15112/img_19.jpg, images/bonés/bone-12614-bone-15112/img_20.jpg, images/bonés/bone-12614-bone-15112/img_21.jpg, images/bonés/bone-12614-bone-15112/img_22.jpg, images/bonés/bone-12614-bone-15112/img_23.jpg, images/bonés/bone-12614-bone-15112/img_24.jpg, images/bonés/bone-12614-bone-15112/img_25.jpg, images/bonés/bone-12614-bone-15112/img_26.jpg, images/bonés/bone-12614-bone-15112/img_27.jpg",,,
BONÉS,Boné – 12694,BONÉS CUBANOS,"Tags: Verão 2022 , Fabricado na China",,"Paquet de 24 pcs assorties: 3*Noir, 3*Marine, 2*Rouge, 2*Orange, 2*Bleu, 2*Moutarde, 2*Kaki, 2*Gris, 2*Beige, 2*Camel, 1*Rose, 1*Gris Fonce",BONÉS CUBANOS,Sortido,,"72,2% Algodão – 27,8% Viscose",Pacote 12,https://hologrammeparis.com/product/casquette-12694/,,"images/bonés/bone-12694/img_01.jpg, images/bonés/bone-12694/img_02.jpg, images/bonés/bone-12694/img_03.jpg, images/bonés/bone-12694/img_04.jpg, images/bonés/bone-12694/img_05.jpg, images/bonés/bone-12694/img_06.jpg, images/bonés/bone-12694/img_07.jpg, images/bonés/bone-12694/img_08.jpg, images/bonés/bone-12694/img_09.jpg, images/bonés/bone-12694/img_10.jpg, images/bonés/bone-12694/img_11.jpg, images/bonés/bone-12694/img_12.jpg, images/bonés/bone-12694/img_13.jpg, images/bonés/bone-12694/img_14.jpg, images/bonés/bone-12694/img_15.jpg, images/bonés/bone-12694/img_16.jpg, images/bonés/bone-12694/img_17.jpg",,,
BONÉS,Boné – 12849,BONÉS CUBANOS,"Tags: Verão 2023 , Fabricado na China",,"Paquet de 24 pcs assorties: 3*Noir, 3*Gris Clair, 3*Marine, 4*Beige, 2*Bleu Canard, 2*Rouge, 2*Jean, 2*Gris Fonce, 2*Blanc, 1*Moutarde",BONÉS CUBANOS,Sortido,"57,5",85% Viscose – 15% Linho,Pacote 24,https://hologrammeparis.com/product/casquette-12849/,,"images/bonés/bone-12849/img_01.jpg, images/bonés/bone-12849/img_02.jpg, images/bonés/bone-12849/img_03.jpg, images/bonés/bone-12849/img_04.jpg, images/bonés/bone-12849/img_05.jpg, images/bonés/bone-12849/img_06.jpg, images/bonés/bone-12849/img_07.jpg, images/bonés/bone-12849/img_08.jpg, images/bonés/bone-12849/img_09.jpg, images/bonés/bone-12849/img_10.jpg, images/bonés/bone-12849/img_11.jpg, images/bonés/bone-12849/img_12.jpg, images/bonés/bone-12849/img_13.jpg, images/bonés/bone-12849/img_14.jpg",,,
BONÉS,Boné – 15165,BONÉS CUBANOS,"Tags: Verão 2023 , Fabricado na China",,"Paquet de 24 pcs assorties: 4*Noir, 3*Beige, 3*Marine, 2*Gris Clair, 2*Gris Fonce, 2*Camel, 2*Kaki, 2*Orange, 2*Moutarde, 2*Blanc",BONÉS CUBANOS,Sortido,"57,5","98,8% Algodão – 1,2% Viscose",Pacote 24,https://hologrammeparis.com/product/casquette-15165/,,"images/bonés/bone-15165/img_01.jpg, images/bonés/bone-15165/img_02.jpg, images/bonés/bone-15165/img_03.jpg, images/bonés/bone-15165/img_04.jpg, images/bonés/bone-15165/img_05.jpg, images/bonés/bone-15165/img_06.jpg, images/bonés/bone-15165/img_07.jpg, images/bonés/bone-15165/img_08.jpg, images/bonés/bone-15165/img_09.jpg, images/bonés/bone-15165/img_10.jpg, images/bonés/bone-15165/img_11.jpg, images/bonés/bone-15165/img_12.jpg, images/bonés/bone-15165/img_13.jpg, images/bonés/bone-15165/img_14.jpg, images/bonés/bone-15165/img_15.jpg",,,
BONÉS,Boné – 15116,BONÉS CUBANOS,"Tags: Verão 2023 , Fabricado na China",,Paquet de 24 pcs assorties: 2 de chaque couleur,BONÉS CUBANOS,Sortido,"57,5",100% algodão,Pacote 24,https://hologrammeparis.com/product/casquette-15116/,,"images/bonés/bone-15116/img_01.jpg, images/bonés/bone-15116/img_02.jpg, images/bonés/bone-15116/img_03.jpg, images/bonés/bone-15116/img_04.jpg, images/bonés/bone-15116/img_05.jpg, images/bonés/bone-15116/img_06.jpg, images/bonés/bone-15116/img_07.jpg, images/bonés/bone-15116/img_08.jpg, images/bonés/bone-15116/img_09.jpg, images/bonés/bone-15116/img_10.jpg, images/bonés/bone-15116/img_11.jpg, images/bonés/bone-15116/img_12.jpg, images/bonés/bone-15116/img_13.jpg, images/bonés/bone-15116/img_14.jpg, images/bonés/bone-15116/img_15.jpg, images/bonés/bone-15116/img_16.jpg, images/bonés/bone-15116/img_17.jpg, images/bonés/bone-15116/img_18.jpg, images/bonés/bone-15116/img_19.jpg, images/bonés/bone-15116/img_20.jpg, images/bonés/bone-15116/img_21.jpg, images/bonés/bone-15116/img_22.jpg",,,
BONÉS,Boné Veludo – 22138 (ou 2019110),BONÉS TRUCKER,Tags: Fabricado na China,,"Découvrez notre casquette en velours, un incontournable pour les boutiques de mode et les enseignes d’accessoires.",BONÉS TRUCKER,"Sortido , Bege , Bordeaux , Cinza , Azul Marinho , Castanho Claro , Castanho Escuro , Preto , Vermelho",,100% Poliéster,Pacote 12,https://hologrammeparis.com/product/casquette-2019110/?attribute_pa_couleur=noir,,"images/bonés/bone-veludo-22138-ou-2019110/img_01.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_06.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_07.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_08.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_09.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_10.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_11.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_12.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_13.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_14.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_15.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_17.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_18.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_19.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_20.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_21.jpg, images/bonés/bone-veludo-22138-ou-2019110/img_22.jpg",,,
BONÉS,Boné – 22134,BONÉS TRUCKER,Tags: Fabricado na China,,"Paquet de 12 pcs assorties: 2*Marine, 2*Noir, 2*Gris, 1*Camel, 1*Bordeaux, 1*Rouge, 1*Kaki, 1*Bleu Ciel, 1*Moutarde",BONÉS TRUCKER,"Sortido , Azul Claro , Borgonha , Camelo , Cinza , Cáqui , Azul Marinho , Mostarda , Preto , Vermelho",,"51,1% Viscose – 48,9% Lã",Pacote 12,https://hologrammeparis.com/product/casquette-22134/?attribute_pa_couleur=noir,,"images/bonés/bone-22134/img_01.jpg, images/bonés/bone-22134/img_02.jpg, images/bonés/bone-22134/img_03.jpg, images/bonés/bone-22134/img_04.jpg, images/bonés/bone-22134/img_05.jpg, images/bonés/bone-22134/img_06.jpg, images/bonés/bone-22134/img_07.jpg, images/bonés/bone-22134/img_08.jpg, images/bonés/bone-22134/img_09.jpg, images/bonés/bone-22134/img_10.jpg, images/bonés/bone-22134/img_11.jpg, images/bonés/bone-22134/img_12.jpg, images/bonés/bone-22134/img_13.jpg, images/bonés/bone-22134/img_14.jpg",,,
BONÉS,Boné – 22134,BONÉS TRUCKER,Tags: Fabricado na China,,"Paquet de 24 pcs assorties: 3*Noir, 3*Marine, 2*Vert, 2*Turquoise, 2*Bordeaux, 2*Orange, 2*Moutarde, 2*Gris, 2*Beige, 2*Camel, 1*Kaki, 1*Rose",BONÉS TRUCKER,"Bege , Azul , Bordéus , Cru , Cinza Claro , Cinza Escuro , Cáqui , Marinho , Mostarda , Laranja , Rosa , Verde","57,5",100% algodão,Pacote 24,https://hologrammeparis.com/product/casquette-2015022/,,"images/bonés/bone-22134/img_01.jpg, images/bonés/bone-22134/img_02.jpg, images/bonés/bone-22134/img_03.jpg, images/bonés/bone-22134/img_04.jpg, images/bonés/bone-22134/img_05.jpg, images/bonés/bone-22134/img_06.jpg, images/bonés/bone-22134/img_07.jpg, images/bonés/bone-22134/img_08.jpg, images/bonés/bone-22134/img_09.jpg, images/bonés/bone-22134/img_10.jpg, images/bonés/bone-22134/img_11.jpg, images/bonés/bone-22134/img_12.jpg, images/bonés/bone-22134/img_13.jpg, images/bonés/bone-22134/img_14.jpg, images/bonés/bone-22134/img_15.jpg",,,
BONÉS,Boné – 15263,BONÉS TRUCKER,12.9,,Découvrez notre Casquette - 15263 au prix de grossiste pour votre boutique sur Hologramme Paris.,BONÉS TRUCKER,ou unidade,"57,5",100% algodão,Pacote por,https://hologrammeparis.com/fr/product/casquette-15263/,,"images/bonés/bone-15263/img_01.jpg, images/bonés/bone-15263/img_02.jpg, images/bonés/bone-15263/img_03.jpg, images/bonés/bone-15263/img_04.jpg, images/bonés/bone-15263/img_05.jpg, images/bonés/bone-15263/img_06.jpg, images/bonés/bone-15263/img_07.jpg, images/bonés/bone-15263/img_08.jpg, images/bonés/bone-15263/img_09.jpg, images/bonés/bone-15263/img_10.jpg, images/bonés/bone-15263/img_11.jpg, images/bonés/bone-15263/img_12.jpg, images/bonés/bone-15263/img_13.jpg, images/bonés/bone-15263/img_14.jpg, images/bonés/bone-15263/img_15.jpg, images/bonés/bone-15263/img_16.jpg, images/bonés/bone-15263/img_17.jpg, images/bonés/bone-15263/img_18.jpg, images/bonés/bone-15263/img_19.jpg, images/bonés/bone-15263/img_20.jpg, images/bonés/bone-15263/img_21.jpg",,,
COWBOY,chapeu-cowboy,CHAPÉU COWBOY,1.0,,,CHAPÉU COWBOY,Sortido,UNICO,,,,,,,,
COWBOY,chapeu-cowboy,CHAPÉU COWBOY,2.0,,,CHAPÉU COWBOY,Sortido,UNICO,,,,,,,,
COWBOY,Boné – 15125,CHAPÉU COWBOY,"Tags: Verão 2023 , Fabricado na China",,"Paquet de 24 pcs assorties: 3*Noir, 3*Gris Clair, 3*Marine, 4*Beige, 2*Bleu Canard, 2*Rouge, 2*Jean, 2*Gris Fonce, 2*Blanc, 1*Moutarde",CHAPÉU COWBOY,Sortido,,"32,7% Algodão – 60,1% Poliéster – 7,2% Celulose",Pacote 24,https://hologrammeparis.com/product/casquette-12849/,,"images/cowboy/bone-15125/img_01.jpg, images/cowboy/bone-15125/img_02.jpg, images/cowboy/bone-15125/img_03.jpg, images/cowboy/bone-15125/img_04.jpg, images/cowboy/bone-15125/img_05.jpg, images/cowboy/bone-15125/img_06.jpg, images/cowboy/bone-15125/img_07.jpg, images/cowboy/bone-15125/img_08.jpg, images/cowboy/bone-15125/img_09.jpg, images/cowboy/bone-15125/img_10.jpg, images/cowboy/bone-15125/img_11.jpg, images/cowboy/bone-15125/img_12.jpg, images/cowboy/bone-15125/img_13.jpg, images/cowboy/bone-15125/img_14.jpg",,,
COWBOY,Boné – 15114,,"Tags: Verão 2023 , Fabricado na China",,"Paquet de 24 pcs assorties: 2*Gris Clair, 3*Beige, 1*Orange, 4*Bleu, 2*Rouge, 1*Vert Sapin, 2*Bordeaux, 2*Kaki, 3*Gris Foncé, 4*Noir",,Sortido,"57 , 59",100% algodão,Pacote 24,https://hologrammeparis.com/product/casquette-15114/,,"images/cowboy/bone-15114/img_01.jpg, images/cowboy/bone-15114/img_02.jpg, images/cowboy/bone-15114/img_03.jpg, images/cowboy/bone-15114/img_04.jpg, images/cowboy/bone-15114/img_05.jpg, images/cowboy/bone-15114/img_06.jpg, images/cowboy/bone-15114/img_07.jpg, images/cowboy/bone-15114/img_08.jpg, images/cowboy/bone-15114/img_09.jpg, images/cowboy/bone-15114/img_10.jpg, images/cowboy/bone-15114/img_11.jpg, images/cowboy/bone-15114/img_12.jpg, images/cowboy/bone-15114/img_13.jpg, images/cowboy/bone-15114/img_14.jpg, images/cowboy/bone-15114/img_15.jpg",,,
COWBOY,"Gorro – Miki 12601
Gorro – 640182503",,Tags: Fabricado na China,,Découvrez notre Bonnet - Miki 12601 au prix de grossiste pour votre boutique sur Hologramme Paris.,,,,100% algodão,Unitário,https://hologrammeparis.com/product/bonnet-miki-12601/?attribute_pa_couleur=beige-fonce,,images/cowboy/gorro-miki-12601-gorro-640182503/img_01.jpg,,,
COWBOY,Algodão 4974,,Etiqueta: Fabricado em Portugal,,Découvrez notre Bonnet - Coton 4974 au prix de grossiste pour votre boutique sur Hologramme Paris.,,Sortido,,50% Algodão – 50% Poliéster,Unitário,https://hologrammeparis.com/product/bonnet-4974/,,images/cowboy/algodao-4974/img_01.jpg,,,
COWBOY,Boné – 18110EC,,Etiqueta: Fabricado em Italia,,Découvrez notre Casquette - 18110EC au prix de grossiste pour votre boutique sur Hologramme Paris.,,"Cru, Preto, Verde, Azul","54 , 55 , 56 , 57 , 58 , 59 , 60 , 61",50% Algodão – 50% Linho,Unitário,https://hologrammeparis.com/product/casquette-18110ec/,,"images/cowboy/bone-18110ec/img_01.jpg, images/cowboy/bone-18110ec/img_02.jpg, images/cowboy/bone-18110ec/img_03.jpg, images/cowboy/bone-18110ec/img_04.jpg, images/cowboy/bone-18110ec/img_05.jpg, images/cowboy/bone-18110ec/img_06.jpg",,,
COWBOY,HOLOGRAMME,,8.0,,Découvrez notre Casquette - 18474OL = 18519OL au prix de grossiste pour votre boutique sur Hologramme Paris.,,,,,,https://hologrammeparis.com/product/casquette-18474ol/,,"images/cowboy/hologramme/img_01.jpg, images/cowboy/hologramme/img_02.jpg, images/cowboy/hologramme/img_03.jpg, images/cowboy/hologramme/img_04.jpg",,,
